epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,85.1407,0.7469,1.53482,0.93232,0.99377,1,0.995,0.84033,0.8039,1.23152,0.90759,0.001307,0.001307,0.001307
30,87.739,0.79249,1.5036,0.9507,0.99378,1,0.995,0.73498,1.05405,1.3827,1.0261,0.00128225,0.00128225,0.00128225
31,90.3812,0.80459,1.57419,0.95325,0.99541,1,0.995,0.79169,0.83659,1.31937,0.94198,0.0012575,0.0012575,0.0012575
32,92.8185,0.8125,1.28782,0.92346,0.99541,1,0.995,0.79169,0.83659,1.31937,0.94198,0.00123275,0.00123275,0.00123275
33,95.2771,0.77237,1.54165,0.90689,0.99616,1,0.995,0.77444,0.83247,1.26587,0.95037,0.001208,0.001208,0.001208
34,97.7453,0.77722,1.2595,0.90763,0.99616,1,0.995,0.77444,0.83247,1.26587,0.95037,0.00118325,0.00118325,0.00118325
35,100.328,0.82322,1.26928,0.89757,0.99466,1,0.995,0.80586,0.77334,1.18817,0.93967,0.0011585,0.0011585,0.0011585
36,102.775,0.74758,1.18167,0.88435,0.99285,1,0.995,0.81586,0.7293,1.14155,0.91099,0.00113375,0.00113375,0.00113375
37,105.247,0.76524,1.3184,0.93885,0.99285,1,0.995,0.81586,0.7293,1.14155,0.91099,0.001109,0.001109,0.001109
38,107.674,0.70115,1.26377,0.87505,0.9913,1,0.995,0.82354,0.80244,1.13045,0.8986,0.00108425,0.00108425,0.00108425
39,110.336,0.66026,1.19616,0.84124,0.99083,1,0.995,0.7815,0.86671,1.1763,0.93127,0.0010595,0.0010595,0.0010595
40,112.546,0.78221,1.05277,0.88515,0.99083,1,0.995,0.7815,0.86671,1.1763,0.93127,0.00103475,0.00103475,0.00103475
41,114.774,0.7748,1.15049,0.91962,0.98994,1,0.995,0.78458,0.85568,1.25794,0.92224,0.00101,0.00101,0.00101
42,117.011,0.70823,1.1196,0.90027,0.98994,1,0.995,0.78458,0.85568,1.25794,0.92224,0.00098525,0.00098525,0.00098525
43,119.281,0.74359,1.08511,0.92153,0.98956,1,0.995,0.79463,0.88499,1.37079,0.93032,0.0009605,0.0009605,0.0009605
