epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,215.687,0.78026,1.05402,0.9863,0.98732,1,0.995,0.53821,1.47539,1.20965,1.51939,0.0005546,0.0005546,0.0005546
75,218.617,0.79551,1.10481,1.03543,0.98497,1,0.995,0.55777,1.45081,1.26388,1.49582,0.0005348,0.0005348,0.0005348
76,221.468,0.78358,1.08159,0.97395,0.9872,1,0.995,0.61211,1.41187,1.22439,1.46798,0.000515,0.000515,0.000515
77,224.368,0.78024,1.05398,1.04105,0.9872,1,0.995,0.61211,1.41187,1.22439,1.46798,0.0004952,0.0004952,0.0004952
78,227.278,0.76638,1.07534,1.00123,0.98969,1,0.995,0.63228,1.38224,1.26557,1.44999,0.0004754,0.0004754,0.0004754
79,230.378,0.7912,1.09944,1.03098,0.99071,1,0.995,0.60107,1.42837,1.29193,1.46415,0.0004556,0.0004556,0.0004556
80,233.266,0.73818,1.05863,0.98775,0.99071,1,0.995,0.60107,1.42837,1.29193,1.46415,0.0004358,0.0004358,0.0004358
81,236.15,0.75216,1.01423,0.97581,0.99164,1,0.995,0.57173,1.46234,1.27849,1.4785,0.000416,0.000416,0.000416
82,239.067,0.7364,1.1131,0.97984,0.99164,1,0.995,0.57173,1.46234,1.27849,1.4785,0.0003962,0.0003962,0.0003962
83,242.195,0.67503,1.07871,0.92716,0.99204,1,0.995,0.59535,1.45618,1.27959,1.45937,0.0003764,0.0003764,0.0003764
84,245.173,0.78684,0.98776,0.9848,0.99263,1,0.995,0.59855,1.43807,1.29743,1.44825,0.0003566,0.0003566,0.0003566
85,248.173,0.71968,1.07711,0.97825,0.99263,1,0.995,0.59855,1.43807,1.29743,1.44825,0.0003368,0.0003368,0.0003368
86,251.253,0.75386,1.05623,0.96679,0.99278,1,0.995,0.58777,1.49172,1.32824,1.48808,0.000317,0.000317,0.000317
87,254.861,0.71148,1.00377,0.93116,0.99184,1,0.995,0.56614,1.50163,1.27361,1.51067,0.0002972,0.0002972,0.0002972
88,257.684,0.71096,1.12564,0.96382,0.99184,1,0.995,0.56614,1.50163,1.27361,1.51067,0.0002774,0.0002774,0.0002774
89,260.701,0.7569,1.04011,0.97748,0.99234,1,0.995,0.58106,1.48762,1.21692,1.51789,0.0002576,0.0002576,0.0002576
90,263.576,0.72722,1.06552,0.98832,0.99234,1,0.995,0.58106,1.48762,1.21692,1.51789,0.0002378,0.0002378,0.0002378
91,266.349,0.69442,1.42023,0.9756,0.99249,1,0.995,0.57271,1.48589,1.18261,1.5196,0.000218,0.000218,0.000218
92,269.13,0.61586,1.32363,0.92167,0.99284,1,0.995,0.56213,1.47366,1.17158,1.51731,0.0001982,0.0001982,0.0001982
93,271.873,0.65192,1.3959,0.9393,0.99284,1,0.995,0.56213,1.47366,1.17158,1.51731,0.0001784,0.0001784,0.0001784
94,274.91,0.61532,1.32647,0.95993,0.99288,1,0.995,0.57403,1.45701,1.2069,1.5119,0.0001586,0.0001586,0.0001586
95,277.869,0.64058,1.40239,0.97081,0.99289,1,0.995,0.5805,1.44864,1.21825,1.51128,0.0001388,0.0001388,0.0001388
96,280.556,0.6648,1.34693,0.95375,0.99289,1,0.995,0.5805,1.44864,1.21825,1.51128,0.000119,0.000119,0.000119
97,283.287,0.65727,1.36781,0.90356,0.99305,1,0.995,0.58049,1.45514,1.21923,1.52222,9.92e-05,9.92e-05,9.92e-05
98,285.984,0.66346,1.35969,0.95434,0.99305,1,0.995,0.58049,1.45514,1.21923,1.52222,7.94e-05,7.94e-05,7.94e-05
99,288.992,0.5563,1.30848,0.8571,0.99308,1,0.995,0.56015,1.45915,1.21541,1.52808,5.96e-05,5.96e-05,5.96e-05
100,292.001,0.53396,1.30047,0.91329,0.99309,1,0.995,0.56385,1.45962,1.20845,1.53203,3.98e-05,3.98e-05,3.98e-05
